Name;Memory;Init;Cold;Billed
hello-node;128;162.83;8.34;9
hello-node;128;167.62;11.14;12
hello-node;128;135.38;15.65;16
hello-node;128;164.32;8.48;9
hello-node;128;166.93;16.01;17
hello-node;128;170.33;4.6;5
hello-node;128;162.07;17.61;18
hello-node;128;164.93;6.55;7
hello-node;128;158.57;1.93;2
hello-node;128;164.95;2.35;3
hello-py311;128;106.94;1.24;2
hello-py311;128;118.17;1.28;2
hello-py311;128;110;1.01;2
hello-py311;128;143.72;1.19;2
hello-py311;128;98;1.07;2
hello-py311;128;154.22;1.23;2
hello-py311;128;152.95;1.3;2
hello-py311;128;105.25;1.2;2
hello-py311;128;108.32;1.65;2
hello-py311;128;158.86;1.14;2
hello-runtime-al2;128;51.32;1.16;53
hello-runtime-al2;128;50.03;1.32;52
hello-runtime-al2;128;49.49;1.97;52
hello-runtime-al2;128;49.65;1.32;51
hello-runtime-al2;128;50.19;1.11;52
hello-runtime-al2;128;50.1;1.16;52
hello-runtime-al2;128;43.17;1.28;45
hello-runtime-al2;128;49.91;1.38;52
hello-runtime-al2;128;53.48;1.23;55
hello-runtime-al2;128;52.68;1.25;54
hello-runtime-go;128;103.78;1.77;2
hello-runtime-go;128;88.36;1.75;2
hello-runtime-go;128;82.35;1.71;2
hello-runtime-go;128;83.04;1.81;2
hello-runtime-go;128;83.14;1.75;2
hello-runtime-go;128;79.84;1.73;2
hello-runtime-go;128;89.1;13.55;14
hello-runtime-go;128;85.99;1.79;2
hello-runtime-go;128;83.67;1.79;2
hello-runtime-go;128;80.04;1.91;2
hello-runtime-go;128;103.78;1.77;2
hello-runtime-go;128;88.36;1.75;2
hello-runtime-go;128;82.35;1.71;2
hello-runtime-go;128;83.04;1.81;2
hello-runtime-go;128;83.14;1.75;2
hello-runtime-go;128;79.84;1.73;2
hello-runtime-go;128;89.1;13.55;14
hello-runtime-go;128;85.99;1.79;2
hello-runtime-go;128;83.67;1.79;2
hello-runtime-go;128;80.04;1.91;2
